model_name,piqa_acc_norm,arc_easy_acc,hellaswag_acc_norm,valid_avg,config_name,train_the_cluster1,train_the_cluster2,train_the_cluster3,train_the_cluster4,train_the_cluster5,train_the_cluster6,train_the_cluster7,train_the_cluster8,train_the_cluster9,train_the_cluster10,train_the_cluster11
proxy_350m_32l_cosine_nemotron_cc_244x_n50,66.64853101196950,52.10437710437710,39.65345548695480,52.80212120110050,n50,0,0.1552,0.0002,0.202,0,0.0006,0,0.0948,0.4222,0.0004,0.1244
proxy_350m_32l_cosine_nemotron_cc_244x_n285,67.79107725788900,49.45286195286200,39.23521210914160,52.15971710663090,n285,0.1186,0.0124,0.0022,0.1254,0.0542,0.001,0.0484,0.014,0.0826,0.5022,0.0392
proxy_350m_32l_cosine_nemotron_cc_244x_n185,66.37649619151250,49.91582491582490,39.145588528181600,51.812636545173,n185,0.2352,0.0144,0.026,0.0028,0,0.0022,0.0918,0.1286,0.1202,0.3606,0.018
proxy_350m_32l_cosine_nemotron_cc_244x_n212,65.28835690968440,36.91077441077440,34.97311292571200,45.72408141539030,n212,0.4766,0,0,0.0046,0,0.0474,0,0.001,0.4662,0.0042,0
proxy_350m_32l_cosine_nemotron_cc_244x_n423,68.06311207834600,49.32659932659930,39.20533758215500,52.19834966236680,n423,0.1062,0.0252,0.045,0.0456,0.0046,0.0664,0.0946,0.0466,0.056,0.5014,0.0082
proxy_350m_32l_cosine_nemotron_cc_244x_n196,67.84548422198040,52.735690235690200,41.127265484963200,53.9028133142113,n196,0,0,0.6138,0.007,0,0,0,0.045,0,0.3008,0.0332
proxy_350m_32l_cosine_nemotron_cc_244x_n6,67.30141458106640,54.25084175084180,40.37044413463450,53.97423348884760,n6,0.0566,0.4096,0.4368,0.001,0.0006,0.0004,0,0.0372,0.041,0.0004,0.0166
proxy_350m_32l_cosine_nemotron_cc_244x_n84,68.33514689880310,56.1026936026936,41.29655447122090,55.2447983242392,n84,0.0342,0.0956,0.6684,0,0,0,0.0056,0.0592,0,0.1268,0.0102
proxy_350m_32l_cosine_nemotron_cc_244x_n161,67.95429815016320,53.87205387205390,40.95797649870540,54.26144284030750,n161,0,0.0534,0.4196,0.0496,0.086,0,0.232,0.0034,0.069,0.0426,0.0442
proxy_350m_32l_cosine_nemotron_cc_244x_n130,66.53971708378670,50.7996632996633,38.647679745070700,51.9956867095069,n130,0,0.0008,0.0006,0.0322,0.0094,0.461,0.1002,0.306,0.0822,0.0074,0
proxy_350m_32l_cosine_nemotron_cc_244x_n2,66.59412404787810,54.082491582491600,40.22107149970130,53.6325623766903,n2,0.1344,0.1346,0.0004,0,0,0.0038,0.0008,0.467,0.214,0.0248,0.0202
proxy_350m_32l_cosine_nemotron_cc_244x_n270,67.84548422198040,54.629629629629600,41.16709818761200,54.547404013074,n270,0,0,0.209,0.4224,0,0.0274,0,0.3242,0,0.007,0.01
proxy_350m_32l_cosine_nemotron_cc_244x_n246,67.41022850924920,52.062289562289600,40.091615216092400,53.1880444292104,n246,0,0.114,0.0402,0.1734,0.0078,0,0.1674,0.0026,0.0044,0.468,0.0224
proxy_350m_32l_cosine_nemotron_cc_244x_n48,66.2132752992383,46.043771043771000,37.61202947620000,49.9563586064031,n48,0.08,0.133,0,0.0494,0.0006,0.096,0,0,0.5448,0.0772,0.019
proxy_350m_32l_cosine_nemotron_cc_244x_n236,66.1588683351469,48.86363636363640,38.72734515036850,51.2499499497173,n236,0.0018,0.0134,0.292,0.0172,0.0068,0.445,0,0,0.0056,0.1822,0.036
proxy_350m_32l_cosine_nemotron_cc_244x_n293,67.24700761697500,53.57744107744110,39.79286994622590,53.53910621354730,n293,0.1674,0,0.237,0,0,0.0114,0.283,0.0008,0.1864,0.1134,0.0006
proxy_350m_32l_cosine_nemotron_cc_244x_n470,66.75734494015230,44.36026936026940,37.75144393547100,49.62301941196420,n470,0,0.001,0,0.0006,0,0.011,0.0006,0.001,0,0.9852,0.0006
proxy_350m_32l_cosine_nemotron_cc_244x_n420,67.46463547334060,54.419191919191900,40.470025891256700,54.1179510945964,n420,0.0004,0.0004,0,0,0.0002,0,0,0.6604,0.0002,0.3386,0
proxy_350m_32l_cosine_nemotron_cc_244x_n407,67.51904243743200,48.484848484848500,39.34475204142600,51.7828809879022,n407,0,0.0012,0,0.1398,0.0006,0,0.0004,0.0008,0.0278,0.009,0.8206
proxy_350m_32l_cosine_nemotron_cc_244x_n262,66.64853101196950,43.72895622895620,36.94483170683130,49.10743964925230,n262,0.01,0.0008,0,0,0,0.0052,0,0.044,0.5486,0.3912,0
proxy_350m_32l_cosine_nemotron_cc_244x_n145,66.70293797606090,51.13636363636360,39.99203345947020,52.61044502396490,n145,0.0046,0.0462,0.001,0.018,0,0.0208,0.2258,0.0332,0.0184,0.426,0.2058
proxy_350m_32l_cosine_nemotron_cc_244x_n117,65.45157780195870,50.968013468013500,39.70324636526590,52.0409458784127,n117,0.162,0.0094,0.097,0.3204,0,0.0378,0,0.003,0.0072,0.0416,0.3218
proxy_350m_32l_cosine_nemotron_cc_244x_n486,68.60718171926010,55.513468013468000,40.41027683728340,54.8436421900038,n486,0,0,0.1916,0.1468,0.0482,0.0038,0.0856,0.2558,0.0184,0.2324,0.0174
proxy_350m_32l_cosine_nemotron_cc_244x_n462,67.13819368879220,50.88383838383840,38.876717785301700,52.2995832859774,n462,0,0,0,0.577,0,0,0,0,0.0038,0.4182,0.001
